compound_id,compound_class,molecular_weight,logP,dose_uM,alt_fold_change,ast_fold_change,ggt_fold_change,hepatotox_label
CMP001,A,494.5,3.99,0.207,5.482,6.222,3.924,1
CMP002,D,436.42,2.8,0.158,12.841,11.583,8.987,1
CMP003,C,457.47,2.39,6.072,1.063,0.79,1.007,0
CMP004,B,489.97,1.25,0.274,2.851,3.135,2.265,1
CMP005,B,291.57,0.42,29.785,3.689,3.334,3.214,1
CMP006,D,399.63,1.97,0.853,2.311,2.556,2.094,0
CMP007,A,385.31,2.53,0.27,5.469,5.489,4.837,1
CMP008,C,369.31,4.9,57.931,7.259,6.763,8.32,1
CMP009,A,403.86,2.77,0.314,4.459,4.453,3.853,1
CMP010,A,572.02,3.88,0.715,3.396,4.154,2.777,1
CMP011,C,347.75,1.95,0.289,3.353,4.161,3.892,1
CMP012,D,521.99,1.06,0.222,5.643,5.416,4.143,1
CMP013,C,270.13,1.35,0.116,2.114,2.056,1.461,0
CMP014,D,398.19,1.66,0.147,4.723,5.198,2.836,1
CMP015,C,445.46,5.37,0.334,8.107,6.742,4.42,1
CMP016,D,485.69,1.53,0.145,2.765,2.756,1.391,0
CMP017,C,497.57,3.69,5.935,3.863,3.655,2.448,1
CMP018,A,505.37,1.43,11.019,1.826,1.815,1.784,0
CMP019,D,396.87,3.81,1.517,10.28,8.566,8.458,1
CMP020,B,386.08,3.1,0.899,10.73,7.806,8.193,1
CMP021,C,511.51,2.4,3.263,1.673,1.104,1.129,0
CMP022,B,411.83,2.55,42.171,5.388,4.276,6.698,1
CMP023,A,308.81,1.75,35.76,4.237,3.753,5.234,1
CMP024,D,322.34,3.18,0.135,5.027,4.569,3.615,1
CMP025,D,342.65,2.01,0.35,3.296,4.025,2.056,1
CMP026,C,477.23,1.01,0.513,1.865,2.061,1.624,0
CMP027,B,443.53,0.94,0.56,4.902,3.997,3.884,1
CMP028,D,495.6,2.82,5.172,6.279,6.271,3.098,1
CMP029,C,389.41,4.65,1.773,10.314,9.21,7.666,1
CMP030,B,445.06,2.81,0.141,9.136,8.315,7.336,1
CMP031,B,489.43,2.45,1.321,8.052,7.858,4.643,1
