compound_id,compound_class,max_fold_change,n_elevated_markers,tox_severity,is_high_risk
CMP001,A,6.222,3,severe,True
CMP002,D,12.841,3,severe,True
CMP003,C,1.063,0,none,False
CMP004,B,3.135,1,moderate,False
CMP005,B,3.689,3,moderate,True
CMP006,D,2.556,0,mild,False
CMP007,A,5.489,3,severe,True
CMP008,C,8.32,3,severe,True
CMP009,A,4.459,3,moderate,True
CMP010,A,4.154,2,moderate,True
CMP011,C,4.161,3,moderate,True
CMP012,D,5.643,3,severe,True
CMP013,C,2.114,0,mild,False
CMP014,D,5.198,2,severe,True
CMP015,C,8.107,3,severe,True
CMP016,D,2.765,0,mild,False
CMP017,C,3.863,2,moderate,True
CMP018,A,1.826,0,none,False
CMP019,D,10.28,3,severe,True
CMP020,B,10.73,3,severe,True
CMP021,C,1.673,0,none,False
CMP022,B,6.698,3,severe,True
CMP023,A,5.234,3,severe,True
CMP024,D,5.027,3,severe,True
CMP025,D,4.025,2,moderate,True
CMP026,C,2.061,0,mild,False
CMP027,B,4.902,3,moderate,True
CMP028,D,6.279,3,severe,True
CMP029,C,10.314,3,severe,True
CMP030,B,9.136,3,severe,True
CMP031,B,8.052,3,severe,True
CMP032,A,4.332,3,moderate,True
CMP033,A,14.378,3,severe,True
CMP034,C,4.202,2,moderate,False
CMP035,D,1.979,0,none,False
CMP036,A,9.531,3,severe,True
CMP037,D,7.454,3,severe,True
CMP038,D,11.768,3,severe,True
CMP039,B,13.017,3,severe,True
CMP040,C,4.046,1,moderate,False
CMP041,A,1.507,0,none,False
CMP042,D,5.988,3,severe,True
CMP043,C,5.19,3,severe,True
CMP044,B,6.546,3,severe,True
CMP045,A,3.126,2,moderate,True
CMP046,D,12.296,3,severe,True
CMP047,B,2.188,0,mild,False
CMP048,D,2.202,0,mild,False
CMP049,C,3.895,3,moderate,True
CMP050,D,4.47,3,moderate,True
CMP051,D,7.214,3,severe,True
CMP052,A,3.683,2,moderate,True
CMP053,B,7.713,3,severe,True
CMP054,B,14.937,3,severe,True
CMP055,B,6.686,3,severe,True
CMP056,A,4.82,3,moderate,True
CMP057,C,0.871,0,none,False
CMP058,A,2.969,0,mild,False
CMP059,C,2.357,0,mild,False
CMP060,C,2.537,0,mild,False
CMP061,D,3.334,1,moderate,False
CMP062,C,3.156,1,moderate,False
CMP063,B,9.353,3,severe,True
CMP064,D,5.056,3,severe,True
CMP065,B,8.63,3,severe,True
CMP066,B,1.922,0,none,False
CMP067,D,2.855,0,mild,False
CMP068,B,4.578,3,moderate,True
CMP069,A,1.375,0,none,False
CMP070,B,7.588,3,severe,True
CMP071,D,7.606,3,severe,True
CMP072,A,1.994,0,none,False
CMP073,B,5.76,2,severe,True
CMP074,A,5.446,3,severe,True
CMP075,C,5.647,3,severe,True
CMP076,B,3.799,2,moderate,True
CMP077,B,13.063,3,severe,True
CMP078,A,3.311,1,moderate,False
CMP079,C,5.819,3,severe,True
CMP080,C,5.607,3,severe,True
CMP081,D,2.066,0,mild,False
CMP082,B,3.942,2,moderate,True
CMP083,A,3.412,1,moderate,False
CMP084,D,7.457,3,severe,True
CMP085,C,10.327,3,severe,True
CMP086,C,2.594,0,mild,False
CMP087,A,2.939,0,mild,False
CMP088,B,3.832,1,moderate,False
CMP089,D,4.573,1,moderate,False
CMP090,D,6.167,3,severe,True
CMP091,B,1.635,0,none,False
CMP092,D,7.019,3,severe,True
CMP093,D,3.152,2,moderate,True
CMP094,B,4.381,3,moderate,True
CMP095,D,1.873,0,none,False
CMP096,B,2.303,0,mild,False
CMP097,A,8.706,3,severe,True
CMP098,C,1.523,0,none,False
CMP099,C,2.086,0,mild,False
CMP100,A,9.435,3,severe,True
